split,filename,domain,lhs_class,rhs_class,lhs_area,rhs_area,violation_ratio,objects_in_image,lhs_bbox_index,rhs_bbox_index,review_reason
test,DAMIMAS_A21B_0222_4.jpg,DAMIMAS,B1,B3,660,19495,29.550,7,0,1,B1 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0724_3.jpg,DAMIMAS,B2,B3,1193,28934,24.247,4,3,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0676_2.jpg,DAMIMAS,B3,B4,913,18403,20.165,8,7,4,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0698_3.jpg,DAMIMAS,B1,B3,2736,53595,19.587,6,5,0,B1 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0616_3.jpg,DAMIMAS,B3,B4,1062,20375,19.186,6,1,2,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0342_2.jpg,DAMIMAS,B1,B3,314,6009,19.127,8,1,3,B1 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0616_3.jpg,DAMIMAS,B3,B4,1062,17051,16.056,6,1,5,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0684_4.jpg,DAMIMAS,B2,B3,2319,34864,15.037,9,2,3,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0684_4.jpg,DAMIMAS,B2,B3,2319,34240,14.768,9,2,4,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0589_3.jpg,DAMIMAS,B3,B4,1788,23813,13.317,8,6,4,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0222_4.jpg,DAMIMAS,B1,B3,660,8676,13.150,7,0,4,B1 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0398_2.jpg,DAMIMAS,B2,B3,1297,16916,13.040,7,6,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0608_1.jpg,DAMIMAS,B2,B3,5067,65509,12.927,7,6,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0696_2.jpg,DAMIMAS,B3,B4,856,10966,12.815,5,4,1,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0222_4.jpg,DAMIMAS,B1,B4,660,8417,12.758,7,0,5,B1 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0617_1.jpg,DAMIMAS,B1,B2,4859,60296,12.408,5,4,0,B1 lebih kecil dari B2 dalam gambar yang sama
val,DAMIMAS_A21B_0649_3.jpg,DAMIMAS,B3,B4,2588,31782,12.279,7,2,3,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0546_1.jpg,DAMIMAS,B3,B4,404,4952,12.259,8,7,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0627_4.jpg,DAMIMAS,B1,B2,3554,42603,11.987,5,2,3,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0781_2.jpg,DAMIMAS,B2,B3,1704,20310,11.922,7,6,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0720_3.jpg,DAMIMAS,B2,B3,5651,66458,11.759,7,6,3,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0546_1.jpg,DAMIMAS,B3,B4,404,4641,11.489,8,7,6,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0570_4.jpg,DAMIMAS,B2,B3,3153,34654,10.990,6,2,1,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0398_2.jpg,DAMIMAS,B1,B3,1572,16916,10.759,7,5,1,B1 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0749_1.jpg,DAMIMAS,B1,B2,3468,37241,10.737,8,3,2,B1 lebih kecil dari B2 dalam gambar yang sama
test,DAMIMAS_A21B_0749_1.jpg,DAMIMAS,B1,B3,3468,36784,10.605,8,3,1,B1 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0342_2.jpg,DAMIMAS,B1,B2,314,3294,10.487,8,1,0,B1 lebih kecil dari B2 dalam gambar yang sama
test,DAMIMAS_A21B_0678_3.jpg,DAMIMAS,B1,B2,4448,44199,9.936,4,3,0,B1 lebih kecil dari B2 dalam gambar yang sama
val,DAMIMAS_A21B_0684_4.jpg,DAMIMAS,B2,B3,2319,23002,9.921,9,2,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0493_4.jpg,DAMIMAS,B2,B3,1155,11375,9.850,5,4,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0617_1.jpg,DAMIMAS,B1,B3,4859,47513,9.778,5,4,1,B1 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0222_4.jpg,DAMIMAS,B1,B3,660,6384,9.676,7,0,3,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0589_3.jpg,DAMIMAS,B3,B4,1788,17110,9.568,8,6,3,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0441_2.jpg,DAMIMAS,B2,B3,525,4992,9.510,8,7,5,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0681_2.jpg,DAMIMAS,B3,B4,6557,62148,9.478,8,3,6,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0609_3.jpg,DAMIMAS,B3,B4,4628,43618,9.425,5,1,3,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0510_3.jpg,DAMIMAS,B2,B3,4497,42207,9.385,7,6,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0792_1.jpg,DAMIMAS,B2,B3,5757,54010,9.382,7,5,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0070_3.jpg,DAMIMAS,B3,B4,2537,23162,9.131,4,3,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0305_3.jpg,DAMIMAS,B2,B3,1337,12172,9.107,6,5,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0788_3.jpg,DAMIMAS,B3,B4,2381,21251,8.925,6,5,3,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0600_1.jpg,DAMIMAS,B3,B4,5214,46452,8.909,7,1,6,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0746_4.jpg,DAMIMAS,B1,B3,3211,28578,8.901,6,1,0,B1 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0170_3.jpg,DAMIMAS,B2,B3,1829,16094,8.799,7,3,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0698_3.jpg,DAMIMAS,B1,B4,2736,24054,8.791,6,5,2,B1 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0680_1.jpg,DAMIMAS,B3,B4,2777,24281,8.743,8,5,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0266_3.jpg,DAMIMAS,B2,B3,3302,28865,8.741,5,4,1,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0342_2.jpg,DAMIMAS,B1,B4,314,2643,8.415,8,1,5,B1 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0749_1.jpg,DAMIMAS,B1,B3,3468,28936,8.343,8,3,5,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0441_2.jpg,DAMIMAS,B2,B3,525,4356,8.299,8,7,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0070_3.jpg,DAMIMAS,B3,B4,2537,20874,8.229,4,3,2,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0839_2.jpg,DAMIMAS,B1,B2,2844,23294,8.191,5,1,0,B1 lebih kecil dari B2 dalam gambar yang sama
test,DAMIMAS_A21B_0712_4.jpg,DAMIMAS,B3,B4,2588,21194,8.189,7,1,4,B3 lebih kecil dari B4 dalam gambar yang sama
